Rk,,Tm,Age,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Maurice Jones-Drew*,JAX,26,16,16,343,1606,8,56,4.7,100.4,21.4,43,374,8.7,3,48,2.7,23.4,1980,11,6
2,Michael Turner,ATL,29,16,15,301,1340,11,81,4.5,83.8,18.8,17,168,9.9,0,32,1.1,10.5,1508,11,3
3,Ray Rice*,BAL,24,16,16,291,1364,12,70,4.7,85.3,18.2,76,704,9.3,3,52,4.8,44.0,2068,15,2
4,Marshawn Lynch,SEA,25,15,15,285,1204,12,47,4.2,80.3,19.0,28,212,7.6,1,26,1.9,14.1,1416,13,3
5,Frank Gore*,SFO,28,16,15,282,1211,8,55,4.3,75.7,17.6,17,114,6.7,0,13,1.1,7.1,1325,8,2
6,Arian Foster*,HOU,25,13,13,278,1224,10,43,4.4,94.2,21.4,53,617,11.6,2,78,4.1,47.5,1841,12,5
7,Cedric Benson,CIN,29,15,15,273,1067,6,42,3.9,71.1,18.2,15,82,5.5,0,11,1.0,5.5,1149,6,5
8,LeSean McCoy*,PHI,23,15,15,273,1309,17,60,4.8,87.3,18.2,48,315,6.6,3,26,3.2,21.0,1624,20,1
9,Chris Johnson,TEN,26,16,16,262,1047,4,48,4.0,65.4,16.4,57,418,7.3,0,34,3.6,26.1,1465,4,3
10,Steven Jackson,STL,28,15,15,260,1145,5,47,4.4,76.3,17.3,42,333,7.9,1,50,2.8,22.2,1478,6,2
11,Michael Bush,OAK,27,16,6,256,977,7,44,3.8,61.1,16.0,37,418,11.3,1,55,2.3,26.1,1395,8,1
12,Shonn Greene,NYJ,26,16,15,253,1054,6,31,4.2,65.9,15.8,30,211,7.0,0,36,1.9,13.2,1265,6,1
13,Willis McGahee,DEN,30,15,13,249,1199,4,60,4.8,79.9,16.6,12,51,4.3,1,12,0.8,3.4,1250,5,4
14,Chris Wells,ARI,23,15,14,245,1047,10,71,4.3,69.8,16.3,10,52,5.2,0,10,0.7,3.5,1099,10,4
15,Rashard Mendenhall,PIT,24,15,15,228,928,9,68,4.1,61.9,15.2,18,154,8.6,0,35,1.2,10.3,1082,9,1
16,Ryan Mathews,SDG,24,14,13,222,1091,6,39,4.9,77.9,15.9,50,455,9.1,0,42,3.6,32.5,1546,6,5
17,Reggie Bush,MIA,26,15,15,216,1086,6,76,5.0,72.4,14.4,43,296,6.9,1,34,2.9,19.7,1382,7,4
18,Adrian Peterson,MIN,26,12,12,208,970,12,54,4.7,80.8,17.3,18,139,7.7,1,22,1.5,11.6,1109,13,1
19,Matt Forte*,CHI,26,12,12,203,997,3,46,4.9,83.1,16.9,52,490,9.4,1,56,4.3,40.8,1487,4,2
20,LeGarrette Blount,TAM,25,14,14,184,781,5,54,4.2,55.8,13.1,15,148,9.9,0,35,1.1,10.6,929,5,5
21,BenJarvus Green-Ellis,NWE,26,16,6,181,667,11,18,3.7,41.7,11.3,9,159,17.7,0,53,0.6,9.9,826,11,0
22,Ben Tate,HOU,23,15,2,175,942,4,56,5.4,62.8,11.7,13,98,7.5,0,14,0.9,6.5,1040,4,4
23,Ahmad Bradshaw,NYG,25,12,9,171,659,9,37,3.9,54.9,14.3,34,267,7.9,2,26,2.8,22.3,926,11,1
24,Fred Jackson,BUF,30,10,9,170,934,6,80,5.5,93.4,17.0,39,442,11.3,0,49,3.9,44.2,1376,6,2
25,Daniel Thomas,MIA,24,13,2,165,581,0,28,3.5,44.7,12.7,12,72,6.0,1,12,0.9,5.5,653,1,2
26,DeMarco Murray,DAL,23,13,7,164,897,2,91,5.5,69.0,12.6,26,183,7.0,0,18,2.0,14.1,1080,2,1
27,Peyton Hillis,CLE,25,10,9,161,587,3,24,3.6,58.7,16.1,22,130,5.9,0,52,2.2,13.0,717,3,2
28,DeAngelo Williams,CAR,28,16,14,155,836,7,74,5.4,52.3,9.7,16,135,8.4,0,32,1.0,8.4,971,7,0
29,Thomas Jones,KAN,33,16,8,153,478,0,26,3.1,29.9,9.6,5,43,8.6,0,27,0.3,2.7,521,0,0